source,target
HB00135,"dalipe, manuel jose ""mannix"" m."
HB00135,"salvador-tambunting, joy myra"
HB00135,"aglipay, michael edgar y."
HB00135,"suansing, estrellita b."
HB00135,"roman, geraldine b."
HB00135,"nograles, jericho jonas b."
HB00136,"roman, geraldine b."
HB00137,"lacson-noel, josephine veronique r."
HB00137,"olivarez, eric l."
HB00137,"leachon, doy c."
HB00137,"sy-alvarado, ""kuya"" jose antonio r."
HB00137,"romualdez, yedda marie k."
HB00137,"aguinaldo, naealla bainto"
HB00137,"salimbangon, janice z."
HB00137,"rodriguez, rufus b."
HB00137,"de venecia, christopher v.p."
HB00137,"villaraza-suarez, anna marie"
HB00137,"salvador-tambunting, joy myra"
HB00137,"radaza, paz c."
HB00137,"suansing, estrellita b."
HB00137,"roman, geraldine b."
HB00137,"palma, wilter  ""sharky"" ii wee"
HB00137,"cabochan, manuel iii dg."
HB00137,"romero, michael  l., ph.d."
HB00137,"gonzales, aurelio jr. ""dong"" d."
HB00138,"roman, geraldine b."
HB00139,"roman, geraldine b."
HB00140,"roman, geraldine b."
HB00141,"roman, geraldine b."
HB00142,"roman, geraldine b."
HB00143,"roman, geraldine b."
HB00144,"marcoleta, rodante d."
HB00145,"marcoleta, rodante d."
HB00146,"marcoleta, rodante d."
HB00147,"marcoleta, rodante d."
HB00148,"marcoleta, rodante d."
HB00149,"marcoleta, rodante d."
HB00150,"marcoleta, rodante d."
HB00151,"marcoleta, rodante d."
HB00152,"marcoleta, rodante d."
HB00153,"teves, arnolfo jr. ""arnie"" a."
HB00154,"teves, arnolfo jr. ""arnie"" a."
HB00155,"teves, arnolfo jr. ""arnie"" a."
HB00156,"belmonte, jose christopher y."
HB00157,"belmonte, jose christopher y."
HB00158,"belmonte, jose christopher y."
HB00159,"revilla, strike b."
HB00159,"lagon, sonny ""sl"" l."
HB00159,"umali, alfonso jr. v."
HB00159,"nieto, john marvin ""yul servo"" c."
HB00159,"bascug, alfel m."
HB00159,"tiangco, john reynald m."
HB00159,"aguinaldo, naealla bainto"
HB00159,"agabas, tyrone d."
HB00159,"castro, france l."
HB00159,"barba, angelo marcos"
HB00159,"nograles, juan fidel felipe f."
HB00159,"belmonte, jose christopher y."
HB00159,"robes, florida ""rida"" p."
HB00159,"dy, faustino michael carlos iii t."
HB00159,"chungalao, solomon r."
HB00159,"salvador-tambunting, joy myra"
HB00159,"violago, micaela s."
HB00159,"cabochan, manuel iii dg."
HB00159,"duavit, michael john r."
HB00159,"vergara, rosanna ""ria"" v."
HB00159,"paduano, joseph stephen ""caraps"" s."
HB00159,"benitez, francisco ""kiko""  b."
HB00159,"gonzales, aurelio jr. ""dong"" d."
HB00160,"belmonte, jose christopher y."
HB00161,"belmonte, jose christopher y."
HB00162,"belmonte, jose christopher y."
HB00163,"belmonte, jose christopher y."
HB00164,"belmonte, jose christopher y."
HB00165,"belmonte, jose christopher y."
HB00166,"tan, angelina ""helen"" d.l., m.d."
HB00167,"tan, angelina ""helen"" d.l., m.d."
HB00168,"tan, angelina ""helen"" d.l., m.d."
HB00169,"tan, angelina ""helen"" d.l., m.d."
HB00170,"tan, angelina ""helen"" d.l., m.d."
HB00171,"tan, angelina ""helen"" d.l., m.d."
HB00172,"tan, angelina ""helen"" d.l., m.d."
HB00173,"tan, angelina ""helen"" d.l., m.d."
HB00174,"tan, angelina ""helen"" d.l., m.d."
HB00175,"tan, angelina ""helen"" d.l., m.d."
HB00176,"suansing, estrellita b."
HB00176,"suansing, horacio jr. p."
HB00177,"suansing, estrellita b."
HB00177,"suansing, horacio jr. p."
HB00178,"suansing, estrellita b."
HB00178,"suansing, horacio jr. p."
HB00179,"suansing, estrellita b."
HB00179,"suansing, horacio jr. p."
HB00180,"suansing, estrellita b."
HB00180,"suansing, horacio jr. p."
HB00181,"romero, michael  l., ph.d."
HB00182,"romero, michael  l., ph.d."
HB00183,"romero, michael  l., ph.d."
HB00184,"romero, michael  l., ph.d."
HB00185,"romero, michael  l., ph.d."
HB00186,"romero, michael  l., ph.d."
HB00187,"romero, michael  l., ph.d."
HB00188,"romero, michael  l., ph.d."
HB00189,"romero, michael  l., ph.d."
HB00190,"romero, michael  l., ph.d."
HB00191,"suansing, estrellita b."
HB00191,"suansing, horacio jr. p."
HB00192,"suansing, estrellita b."
HB00192,"suansing, horacio jr. p."
HB00193,"suansing, estrellita b."
HB00193,"suansing, horacio jr. p."
HB00194,"suansing, estrellita b."
HB00195,"suansing, estrellita b."
HB00195,"suansing, horacio jr. p."
HB00196,"suansing, estrellita b."
HB00196,"suansing, horacio jr. p."
HB00197,"suansing, estrellita b."
HB00197,"suansing, horacio jr. p."
HB00198,"suansing, estrellita b."
HB00198,"suansing, horacio jr. p."
HB00199,"garcia, jose enrique iii ""joet"" s."
HB00200,"garcia, jose enrique iii ""joet"" s."
HB00201,"garcia, jose enrique iii ""joet"" s."
HB00202,"garcia, jose enrique iii ""joet"" s."
HB00203,"garcia, jose enrique iii ""joet"" s."
HB00204,"garcia, jose enrique iii ""joet"" s."
HB00205,"garcia, jose enrique iii ""joet"" s."
HB00206,"garcia, jose enrique iii ""joet"" s."
HB00207,"garcia, jose enrique iii ""joet"" s."
HB00208,"garcia, jose enrique iii ""joet"" s."
HB00209,"puno, roberto v."
HB00210,"puno, roberto v."
HB00211,"puno, roberto v."
HB00212,"puno, roberto v."
HB00213,"puno, roberto v."
HB00214,"puno, roberto v."
HB00215,"puno, roberto v."
HB00216,"puno, roberto v."
HB00217,"puno, roberto v."
HB00218,"puno, roberto v."
HB00219,"gaite, ferdinand r."
HB00219,"brosas, arlene d."
HB00219,"zarate, carlos isagani t."
HB00219,"cullamat, eufemia ""ka femia"" c."
HB00219,"castro, france l."
HB00219,"elago, sarah jane i."
HB00220,"gaite, ferdinand r."
HB00220,"brosas, arlene d."
HB00220,"zarate, carlos isagani t."
HB00220,"cullamat, eufemia ""ka femia"" c."
HB00220,"castro, france l."
HB00220,"elago, sarah jane i."
HB00221,"gaite, ferdinand r."
HB00221,"brosas, arlene d."
HB00221,"zarate, carlos isagani t."
HB00221,"cullamat, eufemia ""ka femia"" c."
HB00221,"castro, france l."
HB00221,"elago, sarah jane i."
HB00222,"gaite, ferdinand r."
HB00222,"brosas, arlene d."
HB00222,"zarate, carlos isagani t."
HB00222,"cullamat, eufemia ""ka femia"" c."
HB00222,"castro, france l."
HB00222,"elago, sarah jane i."
HB00223,"gaite, ferdinand r."
HB00223,"brosas, arlene d."
HB00223,"zarate, carlos isagani t."
HB00223,"cullamat, eufemia ""ka femia"" c."
HB00223,"castro, france l."
HB00223,"elago, sarah jane i."
HB00224,"gaite, ferdinand r."
HB00224,"brosas, arlene d."
HB00224,"zarate, carlos isagani t."
HB00224,"cullamat, eufemia ""ka femia"" c."
HB00224,"castro, france l."
HB00224,"elago, sarah jane i."
HB00225,"gaite, ferdinand r."
HB00225,"brosas, arlene d."
HB00225,"zarate, carlos isagani t."
HB00225,"cullamat, eufemia ""ka femia"" c."
HB00225,"castro, france l."
HB00225,"elago, sarah jane i."
HB00226,"gaite, ferdinand r."
HB00226,"brosas, arlene d."
HB00226,"zarate, carlos isagani t."
HB00226,"cullamat, eufemia ""ka femia"" c."
HB00226,"castro, france l."
HB00226,"elago, sarah jane i."
HB00227,"gaite, ferdinand r."
HB00227,"brosas, arlene d."
HB00227,"zarate, carlos isagani t."
HB00227,"cullamat, eufemia ""ka femia"" c."
HB00227,"castro, france l."
HB00227,"elago, sarah jane i."
HB00228,"gaite, ferdinand r."
HB00228,"brosas, arlene d."
HB00228,"zarate, carlos isagani t."
HB00228,"castro, france l."
HB00228,"cullamat, eufemia ""ka femia"" c."
HB00229,"vargas, alfred d."
HB00230,"vargas, alfred d."
HB00231,"vargas, alfred d."
HB00232,"vargas, alfred d."
HB00233,"vargas, alfred d."
HB00234,"vargas, alfred d."
HB00235,"vargas, alfred d."
HB00236,"vargas, alfred d."
HB00237,"vargas, alfred d."
HB00238,"vargas, alfred d."
HB00239,"gaite, ferdinand r."
HB00239,"brosas, arlene d."
HB00239,"zarate, carlos isagani t."
HB00239,"cullamat, eufemia ""ka femia"" c."
HB00239,"castro, france l."
HB00239,"elago, sarah jane i."
HB00240,"gaite, ferdinand r."
HB00240,"brosas, arlene d."
HB00240,"zarate, carlos isagani t."
HB00240,"cullamat, eufemia ""ka femia"" c."
HB00240,"castro, france l."
HB00240,"elago, sarah jane i."
HB00241,"cullamat, eufemia ""ka femia"" c."
HB00241,"gaite, ferdinand r."
HB00241,"zarate, carlos isagani t."
HB00242,"gaite, ferdinand r."
HB00242,"brosas, arlene d."
HB00242,"zarate, carlos isagani t."
HB00242,"cullamat, eufemia ""ka femia"" c."
HB00242,"castro, france l."
HB00242,"elago, sarah jane i."
HB00243,"gaite, ferdinand r."
HB00243,"brosas, arlene d."
HB00243,"zarate, carlos isagani t."
HB00243,"cullamat, eufemia ""ka femia"" c."
HB00243,"castro, france l."
HB00243,"elago, sarah jane i."
HB00244,"cullamat, eufemia ""ka femia"" c."
HB00244,"gaite, ferdinand r."
HB00244,"zarate, carlos isagani t."
HB00245,"cullamat, eufemia ""ka femia"" c."
HB00245,"gaite, ferdinand r."
HB00245,"zarate, carlos isagani t."
HB00246,"gaite, ferdinand r."
HB00246,"brosas, arlene d."
HB00246,"zarate, carlos isagani t."
HB00246,"cullamat, eufemia ""ka femia"" c."
HB00246,"castro, france l."
HB00246,"elago, sarah jane i."
HB00247,"gaite, ferdinand r."
HB00247,"brosas, arlene d."
HB00247,"zarate, carlos isagani t."
HB00247,"cullamat, eufemia ""ka femia"" c."
HB00247,"castro, france l."
HB00247,"elago, sarah jane i."
HB00248,"gaite, ferdinand r."
HB00248,"brosas, arlene d."
HB00248,"zarate, carlos isagani t."
HB00248,"cullamat, eufemia ""ka femia"" c."
HB00248,"castro, france l."
HB00248,"elago, sarah jane i."
HB00249,"cullamat, eufemia ""ka femia"" c."
HB00249,"gaite, ferdinand r."
HB00249,"zarate, carlos isagani t."
HB00250,"gaite, ferdinand r."
HB00250,"brosas, arlene d."
HB00250,"zarate, carlos isagani t."
HB00250,"cullamat, eufemia ""ka femia"" c."
HB00250,"castro, france l."
HB00250,"elago, sarah jane i."
HB00251,"gaite, ferdinand r."
HB00251,"brosas, arlene d."
HB00251,"zarate, carlos isagani t."
HB00251,"cullamat, eufemia ""ka femia"" c."
HB00251,"castro, france l."
HB00251,"elago, sarah jane i."
HB00252,"gaite, ferdinand r."
HB00252,"brosas, arlene d."
HB00252,"zarate, carlos isagani t."
HB00252,"cullamat, eufemia ""ka femia"" c."
HB00252,"castro, france l."
HB00252,"elago, sarah jane i."
HB00253,"gaite, ferdinand r."
HB00253,"brosas, arlene d."
HB00253,"zarate, carlos isagani t."
HB00253,"cullamat, eufemia ""ka femia"" c."
HB00253,"castro, france l."
HB00253,"elago, sarah jane i."
HB00254,"gaite, ferdinand r."
HB00254,"brosas, arlene d."
HB00254,"zarate, carlos isagani t."
HB00254,"cullamat, eufemia ""ka femia"" c."
HB00254,"castro, france l."
HB00254,"elago, sarah jane i."
HB00255,"gaite, ferdinand r."
HB00255,"brosas, arlene d."
HB00255,"zarate, carlos isagani t."
HB00255,"cullamat, eufemia ""ka femia"" c."
HB00255,"castro, france l."
HB00255,"elago, sarah jane i."
HB00256,"cullamat, eufemia ""ka femia"" c."
HB00256,"gaite, ferdinand r."
HB00256,"zarate, carlos isagani t."
HB00257,"gaite, ferdinand r."
HB00257,"brosas, arlene d."
HB00257,"zarate, carlos isagani t."
HB00257,"cullamat, eufemia ""ka femia"" c."
HB00257,"castro, france l."
HB00257,"elago, sarah jane i."
HB00258,"cullamat, eufemia ""ka femia"" c."
HB00258,"gaite, ferdinand r."
HB00258,"zarate, carlos isagani t."
HB00259,"ramirez-sato, josephine"
HB00260,"ramirez-sato, josephine"
HB00261,"ramirez-sato, josephine"
HB00262,"ramirez-sato, josephine"
HB00263,"ramirez-sato, josephine"
HB00264,"ramirez-sato, josephine"
HB00265,"ramirez-sato, josephine"
HB00266,"ramirez-sato, josephine"
HB00267,"ramirez-sato, josephine"
HB00268,"ramirez-sato, josephine"
HB00269,"aglipay, michael edgar y."
HB00270,"aglipay, michael edgar y."
HB00271,"aglipay, michael edgar y."
HB00272,"aglipay, michael edgar y."
HB00273,"aglipay, michael edgar y."
HB00274,"aglipay, michael edgar y."
HB00275,"aglipay, michael edgar y."
HB00276,"aglipay, michael edgar y."
HB00277,"aglipay, michael edgar y."
HB00278,"aglipay, michael edgar y."
HB00279,"albano, antonio ""tonypet"" t."
HB00280,"albano, antonio ""tonypet"" t."
HB00281,"albano, antonio ""tonypet"" t."
HB00282,"albano, antonio ""tonypet"" t."
HB00283,"albano, antonio ""tonypet"" t."
HB00284,"suansing, estrellita b."
HB00284,"suansing, horacio jr. p."
HB00285,"suansing, estrellita b."
HB00285,"suansing, horacio jr. p."
HB00286,"suansing, estrellita b."
HB00286,"suansing, horacio jr. p."
HB00287,"suansing, estrellita b."
HB00287,"suansing, horacio jr. p."
HB00288,"suansing, estrellita b."
HB00288,"suansing, horacio jr. p."
HB00289,"suansing, estrellita b."
HB00290,"suansing, estrellita b."
HB00291,"suansing, estrellita b."
HB00292,"suansing, estrellita b."
HB00293,"suansing, estrellita b."
HB00294,"yap, victor a."
HB00295,"yap, victor a."
HB00296,"yap, victor a."
HB00297,"yap, victor a."
HB00298,"yap, victor a."
HB00299,"yap, victor a."
HB00300,"go, mark o."
HB00300,"sangcopan, amihilda j."
HB00300,"salceda, joey sarte"
HB00300,"aglipay, michael edgar y."
HB00300,"gatchalian, wes"
HB00300,"defensor, lorenz r."
HB00300,"bagatsing, cristal l."
HB00300,"yap, victor a."
HB00300,"biazon, ruffy b."
HB00300,"suansing, estrellita b."
HB00300,"babasa, leonardo jr. l."
HB00300,"garin, sharon s."
HB00300,"nograles, jericho jonas b."
HB00300,"cueva, leo rafael m."
HB00300,"villafuerte, luis raymund  jr. ""lray"" f."
HB00301,"yap, victor a."
HB00302,"yap, victor a."
HB00303,"yap, victor a."
HB00304,"cua, junie e."
HB00304,"suansing, horacio jr. p."
HB00304,"hofer, ann k."
HB00304,"deloso-montalla, cheryl p."
HB00304,"salceda, joey sarte"
HB00304,"salvador-tambunting, joy myra"
HB00304,"suansing, estrellita b."
HB00304,"garin, sharon s."
HB00304,"villafuerte, luis raymund  jr. ""lray"" f."
HB00304,"romero, michael  l., ph.d."
HB00305,"salceda, joey sarte"
HB00306,"salceda, joey sarte"
HB00307,"salceda, joey sarte"
HB00308,"salceda, joey sarte"
HB00309,"ebcas, adriano a."
HB00309,"cabredo, fernando t."
HB00309,"umali, alfonso jr. v."
HB00309,"salceda, joey sarte"
HB00309,"nieto, john marvin ""yul servo"" c."
HB00309,"aumentado, erico aristotle c."
HB00309,"macapagal arroyo, juan miguel"
HB00309,"billones, emmanuel ""tawi"""
HB00309,"castro, fredenil ""fred"" h."
HB00309,"delos santos, alfred c."
HB00309,"pineda, enrico a."
HB00309,"villanueva, noel l."
HB00309,"robes, florida ""rida"" p."
HB00309,"arenas, rose marie ""baby"" j."
HB00309,"uy, rolando ""klarex"" a."
HB00309,"castelo, precious hipolito"
HB00309,"mangudadatu, esmael g."
HB00309,"dalog, maximo jr. y."
HB00309,"kho, wilton ""tonton"" tan"
HB00309,"bustos, jorge ""patrol"""
HB00309,"paduano, joseph stephen ""caraps"" s."
HB00309,"defensor, michael t."
HB00310,"salceda, joey sarte"
HB00311,"salceda, joey sarte"
HB00312,"salceda, joey sarte"
HB00313,"salceda, joey sarte"
HB00314,"pancho, gavini ""apol"" c."
HB00315,"pancho, gavini ""apol"" c."
HB00316,"pancho, gavini ""apol"" c."
HB00317,"pancho, gavini ""apol"" c."
HB00318,"gaite, ferdinand r."
HB00318,"brosas, arlene d."
HB00318,"zarate, carlos isagani t."
HB00318,"castro, france l."
HB00318,"elago, sarah jane i."
HB00318,"cullamat, eufemia ""ka femia"" c."
HB00319,"gaite, ferdinand r."
HB00319,"brosas, arlene d."
HB00319,"zarate, carlos isagani t."
HB00319,"castro, france l."
HB00319,"elago, sarah jane i."
HB00319,"cullamat, eufemia ""ka femia"" c."
HB00320,"gaite, ferdinand r."
HB00320,"brosas, arlene d."
HB00320,"zarate, carlos isagani t."
HB00320,"castro, france l."
HB00320,"elago, sarah jane i."
HB00320,"cullamat, eufemia ""ka femia"" c."
HB00321,"gaite, ferdinand r."
HB00321,"brosas, arlene d."
HB00321,"zarate, carlos isagani t."
HB00321,"castro, france l."
HB00321,"elago, sarah jane i."
HB00321,"cullamat, eufemia ""ka femia"" c."
HB00322,"gaite, ferdinand r."
HB00322,"brosas, arlene d."
HB00322,"zarate, carlos isagani t."
HB00322,"castro, france l."
HB00322,"elago, sarah jane i."
HB00322,"cullamat, eufemia ""ka femia"" c."
HB00323,"gaite, ferdinand r."
HB00323,"brosas, arlene d."
HB00323,"zarate, carlos isagani t."
HB00323,"castro, france l."
HB00323,"elago, sarah jane i."
HB00323,"cullamat, eufemia ""ka femia"" c."
HB00324,"gaite, ferdinand r."
HB00324,"brosas, arlene d."
HB00324,"zarate, carlos isagani t."
HB00324,"castro, france l."
HB00324,"elago, sarah jane i."
HB00324,"cullamat, eufemia ""ka femia"" c."
HB00325,"gaite, ferdinand r."
HB00325,"brosas, arlene d."
HB00325,"zarate, carlos isagani t."
HB00325,"castro, france l."
HB00325,"elago, sarah jane i."
HB00325,"cullamat, eufemia ""ka femia"" c."
HB00326,"gaite, ferdinand r."
HB00326,"brosas, arlene d."
HB00326,"zarate, carlos isagani t."
HB00326,"castro, france l."
HB00326,"elago, sarah jane i."
HB00326,"cullamat, eufemia ""ka femia"" c."
HB00327,"arenas, rose marie ""baby"" j."
HB00328,"arenas, rose marie ""baby"" j."
HB00329,"arenas, rose marie ""baby"" j."
HB00330,"arenas, rose marie ""baby"" j."
HB00331,"arenas, rose marie ""baby"" j."
HB00332,"arenas, rose marie ""baby"" j."
HB00333,"arenas, rose marie ""baby"" j."
HB00334,"arenas, rose marie ""baby"" j."
HB00335,"arenas, rose marie ""baby"" j."
HB00336,"nograles, juan fidel felipe f."
HB00337,"nograles, juan fidel felipe f."
HB00338,"romualdo, xavier jesus d."
HB00339,"romualdo, xavier jesus d."
HB00340,"romualdo, xavier jesus d."
HB00341,"romualdo, xavier jesus d."
HB00342,"romualdo, xavier jesus d."
HB00343,"romualdo, xavier jesus d."
HB00344,"romualdo, xavier jesus d."
HB00345,"brosas, arlene d."
HB00345,"plaza, eddiebong g."
HB00345,"taduran, rowena niña o."
HB00345,"ty, diego ""nonoy"" c."
HB00345,"salimbangon, janice z."
HB00345,"cuaresma, luisa lloren"
HB00345,"cullamat, eufemia ""ka femia"" c."
HB00345,"gullas, eduardo ""eddie"" r."
HB00345,"romualdo, xavier jesus d."
HB00345,"barzaga, elpidio jr. f."
HB00345,"abueg-zaldivar, cyrille ""beng"" f."
HB00345,"villanueva, noel l."
HB00345,"fongwan, nestor b."
HB00345,"eriguel, sandra y., m.d."
HB00345,"paduano, joseph stephen ""caraps"" s."
HB00345,"gonzales, aurelio jr. ""dong"" d."
HB00346,"romualdo, xavier jesus d."
HB00347,"romualdo, xavier jesus d."
HB00348,"duavit, michael john r."
HB00349,"cayetano, maria laarni"
