,0
distinct independent,0.8168421196776153
duties providing funds,0.8163517162782117
senior high school,0.8148977501682791
funds thereof purposes,0.8145388271240664
san antonio,0.8130391236985496
campus appropriating funds therefor,0.8125384601087058
province_davao_city,0.8096227687652164
sexual orientation,0.8093697733785629
agusan del norte,0.8079616582597821
del sur known,0.8078748014948197
department interior,0.8076542451122264
department interior local,0.807654245112226
department interior local government,0.8076542451122253
occidental appropriating funds therefor,0.8074872857954662
migrant workers,0.8058789747053572
integrated protected areas,0.8026681055973276
national integrated protected areas,0.8026681055973267
water resources,0.8009014340197408
coast guard,0.8000796278327388
family code,0.7992015513193256
higher education,0.7989320869470967
province bohol appropriating funds,0.7983943543525862
province bohol appropriating,0.798394354352585
section 13 republic,0.7981766044603631
del monte,0.791671407435911
amended purposes,0.7904533736084169
province_batanes,0.7853414870949602
social pension senior citizens,0.7853176948369093
social pension senior,0.7853176948369092
pension senior,0.7853176948369092
pension senior citizens,0.7853176948369088
barangay sangguniang kabataan,0.782620036716024
barangay sangguniang,0.7826200367160221
republic act 7279,0.7821252320649468
act 7279,0.7821252320649459
forces philippines reservist act,0.7820292567850937
reservist act,0.782029256785093
armed forces philippines reservist,0.782029256785093
forces philippines reservist,0.7820292567850929
philippines reservist,0.7820292567850928
philippines reservist act,0.7820292567850925
party_recoboda,0.780208208758721
development defining powers,0.7780477738649203
development defining powers functions,0.7780477738649187
establish install,0.7755836266565524
establish install maintain,0.7755836266565515
camarines sur national,0.7749748689816437
barangay tanods members,0.7745391250318878
tanods members,0.7745391250318856
dangerous drugs act,0.7734344737772489
drugs act,0.773434473777248
thereof appropriating funds therefor,0.7728370050189205
province camarines sur national,0.769424279991065
service delivery,0.7692517851343657
reserve officers,0.7684150169843618
mountain province,0.7680942581945772
conservation protection,0.7670875362933415
medical personnel,0.7660016598566521
party_ako padayon pilipino,0.7656315125861082
program department,0.7642995311393946
act mandating public,0.7642565941393007
libmanan province camarines sur,0.7625121860019044
libmanan province camarines,0.7625121860019044
libmanan province,0.7625121860019043
campus appropriating funds,0.7612904028329144
minimum salary,0.7607056704978086
known civil,0.7596673054119402
party_sagip,0.7582411488429591
commercial residential,0.757770318728922
province dinagat islands,0.7569941363791175
batas pambansa bilang 881,0.7569603042524777
bilang 881,0.7569603042524776
pambansa bilang 881,0.7569603042524767
act creating national,0.754951553086942
including barangay tanods members,0.7527865864955431
day care,0.7519626735403933
act 8424,0.7475421809726228
republic act 8424,0.7475421809726219
city municipal,0.7457490980327091
agriculture fisheries,0.7439758295815354
ilocos sur appropriating,0.7415822945444634
ref_metro_manila_development,0.7396910918887067
province davao oriental,0.7391294276834393
day commemoration,0.7387447298554579
party_magdalo,0.7387304751254805
oro city ecotourism,0.7385003024291669
cagayan oro city ecotourism,0.7385003024291656
fund amending,0.7379869057919471
construct establish,0.7340611713015565
1991 purposes,0.7325597362555276
government code 1991 purposes,0.7325597362555274
purpose republic act 4136,0.7324523531870605
senior high,0.731014770661534
known national,0.7308005376585017
province davao del sur,0.7299816217245417
national bureau investigation,0.7297235689139923
national bureau,0.7297235689139919
bureau investigation,0.7297235689139897
road stretching barangay,0.7243359232460019
professional health care,0.7221097743881889
professional health,0.7221097743881879
barangay officials,0.7198662341670262
act appropriating funds therefor,0.7187835871519653
philippines creating,0.7176947424616003
abscbn broadcasting corporation franchise,0.7171276088078313
ref_mindanao_affairs,0.716748172435577
7160 amended,0.715639234543606
public utility vehicles,0.7152975090761825
utility vehicles,0.7152975090761817
oriental appropriating funds,0.7132520498108073
oriental appropriating,0.7132520498108066
oriental appropriating funds therefor,0.7132520498108061
department water resources,0.7075309585252954
providing penalties violation thereof,0.7057753196198377
providing penalties violation,0.7057753196198377
natural resources,0.7054427648097304
indigent patients,0.7053929568914598
years amending purpose,0.7048776881442265
amended known judiciary,0.701561632650621
amended known judiciary reorganization,0.7015616326506208
129 amended known judiciary,0.7015616326506204
129 amended known,0.7015616326506191
government act 1990,0.7002512032766104
local government act 1990,0.7002512032766096
covid19 vaccination,0.6991403322385308
act making position,0.6986558820972573
making position,0.6986558820972567
act banning,0.6976546681895025
public private,0.6939368272978151
party_act-teachers,0.6897081418256987
ref_bases_conversion,0.6891991905015714
amended known,0.6884699630081208
policy providing,0.6882593318826179
act develop,0.686005472467048
orientation gender identity,0.6851313437725731
orientation gender,0.6851313437725728
sexual orientation gender identity,0.6851313437725726
sexual orientation gender,0.6851313437725721
development defining,0.6844327794790106
7277 amended,0.6841261363674358
province_rizal,0.6798093241778482
amending purpose articles,0.6792522444243035
act postponing,0.6789623772197414
province dinagat,0.6789237373577036
10952 purposes,0.673682954583246
nation building,0.6734217588473992
imposing stiffer,0.6712131093891616
zamboanga del sur known,0.6701216034642916
act 7277 amended,0.666699544764459
republic act 7277 amended,0.6666995447644589
national integrated,0.6664377044121066
province_bulacan,0.6662509081229174
vehicles amending purpose republic,0.6652872227817337
50 beds,0.6648910256780501
ref_welfare_of_children,0.6632411113909199
batas pambansa,0.6624395996092312
province camarines sur,0.6623071703825256
creating department water resources,0.6609177372049537
upgrading minimum salary grade,0.6606309979693309
stiffer penalties sanctions purposes,0.6589639948922192
129 amended,0.6577211996624643
act 8042,0.6575129684369037
republic act 8042,0.6575129684369023
broadcasting stations philippines,0.6570395715506575
act establishing provincial,0.6561704177537466
establishing provincial,0.656170417753744
similar establishments,0.6506621767089853
family code philippines,0.6489632751234302
powers functions purposes,0.648039785613824
amended known local,0.6463448808262355
amended known local government,0.6463448808262354
7160 amended known local,0.6463448808262325
party_hnp,0.6451512701834705
citizens amending purpose,0.6440488006654268
capital philippines,0.6426805748774784
party_asenso,0.6413176746962295
thereof appropriating,0.6377328831020813
thereof appropriating funds,0.6377328831020803
known citizen armed,0.6370465050108116
known citizen,0.6370465050108114
province_quezon_city,0.6367363545918012
protected area category protected,0.6366935507106453
area category protected,0.6366935507106426
transportation traffic,0.6363963556557146
public school teachers,0.6356096706236012
government service,0.6346038734429693
province davao del,0.6337216597525491
imposing stiffer penalties,0.6334470587734571
insurance coverage,0.6315048445719834
network franchise,0.6311815934301002
province_surigao_del_sur,0.631124567750426
amending section republic,0.6310526224465054
amending section republic act,0.6310526224465051
reorganization act,0.6307948181335838
2020 barangay sangguniang kabataan,0.6304948900132106
2020 barangay sangguniang,0.6304948900132095
2020 barangay,0.6304948900132091
school teachers,0.6296567884271259
mandating local,0.6273497241936974
mandating local government,0.6273497241936965
pambansa bilang,0.6270921994296703
batas pambansa bilang,0.6270921994296683
duties providing,0.6252399865115699
establishing philippine high,0.6239169715798834
establishing philippine high school,0.6239169715798828
act amending section republic,0.6238797431828712
archipelagic sea lanes,0.6230341570591792
sea lanes,0.6230341570591776
archipelagic sea,0.6230341570591752
philippine high school,0.6205941853787712
philippine high,0.6205941853787712
professional health care services,0.6186057600008374
development authority prescribing,0.6183872467521769
davao del sur,0.6180993597144486
distinct independent barangay known,0.6179061017365501
distinct independent barangay,0.6179061017365495
province_davao_del_sur,0.616654170815013
national land,0.6152678792719503
franchise construct establish,0.6148668457540506
sur state,0.6144249440573873
"ref_peace,_reconciliation_and_unity",0.6107305204100456
regulatory commission,0.6104497535261423
party_ang probinsyano,0.6087399318588151
high school students,0.6075014824343923
san jose,0.6060869235401263
construct establish install maintain,0.6031674666077461
construct establish install,0.603167466607746
establish install maintain operate,0.6031674666077459
stiffer penalties,0.6020245519512616
city general,0.6019024357912995
parking fees,0.5995834545520703
province_iligan_city,0.5989322248881681
privileges purposes,0.5971802472001552
primary secondary,0.5951411598452665
commission appropriating funds,0.5938047771965961
commission appropriating,0.5938047771965924
rizal province,0.5933671267800237
mandating public,0.5928293365162856
regulation act,0.5915941332156387
children youth,0.5913323653549695
act converting provincial,0.5912570326986128
converting provincial,0.5912570326986094
bicycle lanes,0.5911499258717765
party_kalinga,0.5878196209837663
government procurement reform act,0.586600915726156
procurement reform act,0.5866009157261552
known government procurement reform,0.5866009157261548
known government procurement,0.5866009157261548
government procurement reform,0.5866009157261548
9184 known government procurement,0.5866009157261547
9184 known government,0.5866009157261546
public school,0.5850471805778
excise tax,0.5849462261299032
training program,0.5847010586725081
risk reduction,0.5827547315737982
beds appropriating funds therefor,0.582349753556608
act 10952,0.5816233196801313
republic act 10952,0.5816233196801294
act instituting national,0.5798838737754561
instituting national,0.5798838737754541
reduction management,0.5795517845994743
oro city tesda training,0.579402084112585
oro city tesda,0.579402084112584
cagayan oro city tesda,0.5794020841125835
known expanded,0.5769881029843991
city bacolod,0.5764600107471662
provinces cities municipalities,0.5762765461330198
negros occidental appropriating,0.5745871864562482
negros occidental appropriating funds,0.5745871864562478
autonomous region,0.5745020634845122
dinagat islands,0.5725625840791558
province palawan,0.5718284313075369
amended republic act,0.5715483290318085
program providing funds therefor,0.5696270363383856
providing stiffer penalties sanctions,0.5695023628077602
stiffer penalties sanctions,0.5695023628077601
facilities professional,0.5681200605462766
multispecies marine hatchery barangay,0.5680586761187627
province_ilocos_norte,0.5679213981955368
development authority prescribing powers,0.5656777366523859
known civil code,0.5648677638360984
stretching barangay,0.5647658796093613
therefor amending purpose section,0.564616873136405
29 batas pambansa blg,0.5631988685314688
act 10868 known,0.5613434742124261
republic act 10868 known,0.5613434742124253
batas pambansa blg,0.5609692867286807
pambansa blg,0.5609692867286799
purpose commonwealth act,0.5609304946366308
party_ako bisaya,0.560635613763816
beds appropriating funds,0.5597688998685455
beds appropriating,0.559768899868543
barangay health workers amending,0.5589982392167719
act renewing franchise granted,0.5572422843910306
renewing franchise,0.5572422843910303
renewing franchise granted,0.5572422843910296
act renewing franchise,0.5572422843910292
senior citizens amending purpose,0.5566973259632207
penalties violation,0.5556843436418383
solid waste management,0.5553284693344712
act 7160 amended,0.55472567564043
republic act 7160 amended,0.5547256756404292
act 1990,0.5543675967440992
providing revised,0.5530021907633612
act providing revised,0.5530021907633592
forces philippines,0.5513804834344666
armed forces philippines,0.5513804834344662
province camarines sur appropriating,0.5513002793083711
act 9184 known government,0.5496165539797778
dinagat islands appropriating,0.5481934103292861
islands appropriating funds,0.5481934103292859
islands appropriating,0.5481934103292858
islands appropriating funds therefor,0.5481934103292856
dinagat islands appropriating funds,0.5481934103292851
network franchise construct,0.5470083687559687
8424 known,0.5469776914475912
act 8424 known,0.5469776914475912
republic act 8424 known,0.5469776914475911
certain sections republic,0.5456778782235407
certain sections republic act,0.5456778782235403
national police,0.5426779280829885
9164 amended republic act,0.5420282183679883
school students,0.5410517068464824
abscbn broadcasting,0.5392708214726734
abscbn broadcasting corporation,0.5392708214726714
district office appropriating funds,0.5384514822366993
district office appropriating,0.5384514822366979
operate maintain,0.538087156414136
overseas filipino workers defining,0.5370855026749118
filipino workers defining,0.5370855026749115
filipino workers defining powers,0.5370855026749106
purpose executive,0.5357231779233429
purpose executive order,0.5357231779233425
facilities professional health,0.5345662847879931
facilities professional health care,0.5345662847879926
hatchery barangay,0.5342271405162722
city national high,0.533833160769416
city national high school,0.5338331607694142
region stationed city,0.5334907921575961
city san jose,0.5326358969102792
city san jose del,0.5326358969102779
eastern visayas,0.5323653605699831
providing security tenure,0.532055771380946
providing security,0.5320557713809456
province cagayan,0.5310446338974075
providing stiffer,0.5296330484263005
providing stiffer penalties,0.5296330484263001
republic act 7077,0.5289765985251801
act 7077,0.5289765985251788
solid waste,0.5287513812358033
waste management,0.5287416148435646
act amended,0.5276972961197012
public utility vehicles amending,0.5274778073051875
utility vehicles amending,0.5274778073051872
utility vehicles amending purpose,0.527477807305187
ref_games_and_amusements,0.5209125128866248
code amended,0.5204662367827653
san juan,0.5194925700032738
penalties violation thereof,0.5184569485349857
philippine national police,0.5175322263727974
province zambales,0.5169384697876269
city known,0.5168324420285223
violation thereof purposes,0.5168008334849012
act increasing minimum,0.5165549489673809
increasing minimum,0.516554948967379
penalties violation thereof purposes,0.5150811570874441
province abra,0.5145652345996664
office municipality,0.5137956024835508
blg 129 known judiciary,0.5126206460730615
network franchise construct install,0.5124185338432976
republic act 9994,0.5102920502160758
act 9994,0.5102920502160737
known judiciary reorganization,0.5092891772443976
known judiciary reorganization act,0.5092891772443975
known judiciary,0.509289177244397
minimum wage,0.5091384690257278
minimum salary grade level,0.5090523443742772
salary grade level,0.5090523443742752
party_senior citizens,0.5069409875848807
ref_natural_resources,0.506702860398123
act mandating local government,0.5043291847978948
act mandating local,0.5043291847978932
party_bahay,0.5026219273788175
destination providing development appropriating,0.5009847724372984
province la union,0.5006793390920837
province la,0.5006793390920834
davao del,0.500070884501705
act improving,0.4998469924860434
salary grade,0.4995804907628268
judicial region stationed city,0.49912769179646366
act allowing,0.4990234369115942
ref_health,0.49725836635044607
29 batas pambansa,0.4972103848985698
29 batas,0.49721038489856656
program providing funds,0.4961239585284683
act 1980,0.4959125127210344
expanding coverage,0.49460609004784717
regional trial court additional,0.49353247490242325
trial court additional,0.4935324749024225
court additional,0.493532474902422
component city known,0.49321643659548886
care services facilities,0.4915122867685965
health care services facilities,0.49151228676859626
upgrading professional health,0.4915122867685956
upgrading professional,0.4915122867685956
upgrading professional health care,0.49151228676859554
supervision control,0.49060364435366755
marine hatchery barangay,0.48814648952165196
judiciary reorganization,0.48728927402247957
judiciary reorganization act,0.48728927402247935
office appropriating funds,0.48721010291066036
office appropriating funds therefor,0.4872101029106598
office appropriating,0.4872101029106595
philippine national police pnp,0.4870137271905049
national police pnp,0.4870137271905045
police pnp,0.4870137271905044
day care workers,0.4869803644313691
ref_public_order_and_safety,0.48671873972307417
province_nueva_ecija,0.48540961880415884
regular lto,0.485356182427425
regular lto district office,0.48535618242742495
regular lto district,0.48535618242742473
judiciary reorganization act 1980,0.4850867339849629
reorganization act 1980,0.485086733984962
coronavirus disease,0.48387345465339254
province_bohol,0.4827111359272245
functions duties providing,0.4817693127057482
province_romblon,0.4816893044084499
amending ra,0.4807548857441799
repealing republic act,0.47984860549555547
repealing republic,0.47984860549555514
province ilocos sur,0.47875273761411796
9184 known,0.47847084534328926
procurement reform,0.4784708453432889
satellite office,0.47761353127298345
center appropriating funds therefor,0.47751577473469353
purpose commonwealth,0.4770574777941179
protection bfp,0.47695068830094434
bureau protection bfp,0.476950688300943
act 10923 republic,0.4745874292459864
act 10923 republic act,0.4745874292459861
10923 republic,0.47458742924598596
10923 republic act 10952,0.47458742924598585
republic act 10923 republic,0.4745874292459852
10923 republic act,0.4745874292459843
province_south_cotabato,0.4740387583886013
road municipality,0.4732396980440975
14 paragraph batas pambansa,0.4727814329336518
14 paragraph batas,0.4727814329336518
paragraph batas pambansa blg,0.4727814329336511
paragraph batas,0.4727814329336508
paragraph batas pambansa,0.47278143293365077
section 14 paragraph batas,0.4727814329336504
expanded senior,0.4717663006695783
grade 11,0.47172612937825853
state college municipality,0.47008189159133745
act 7432 amended republic,0.4697881140611292
7432 amended republic,0.4697881140611277
7432 amended republic act,0.4697881140611273
legislative districts,0.469533330036712
province sulu,0.46952734152350073
ref_rural_development,0.4688594950839683
province_southern_leyte,0.4680381251177003
covid19 pandemic purposes,0.46772315988747637
duration covid19 pandemic purposes,0.46772315988747515
program providing,0.46757394194346136
province_siquijor,0.46607170616703575
amended republic,0.46558126120622995
act providing additional,0.4652386883047968
amended known magna carta,0.4651441678978503
amended known magna,0.46514416789784907
jail management,0.464770437986324
jose del monte,0.46429911608505553
san jose del,0.46429911608505503
jose del,0.4642991160850546
san jose del monte,0.4642991160850545
national secondary road appropriating,0.4626867045545221
secondary road appropriating funds,0.46268670455452204
secondary road appropriating,0.4626867045545218
blg 129 known,0.46187967868364
pambansa blg 129 known,0.4618796786836388
lto municipality,0.46172089013884915
office lto municipality,0.46172089013884915
transportation office lto municipality,0.4617208901388487
dangerous drugs act 2002,0.46135046630084836
drugs act 2002,0.4613504663008471
authority prescribing,0.4608317007110934
ref_information_and_communications_technology,0.4599248043930502
province camarines sur known,0.45830884774051106
camarines sur known,0.4583088477405108
center appropriating funds,0.4578922942545963
7160 amended known,0.45684262782790125
expanded senior citizens act,0.45659482937262297
expanded senior citizens,0.45659482937262197
act 8972 known,0.4559208092631999
8972 known,0.45592080926319783
republic act 8972 known,0.4559208092631976
management appropriating funds,0.4557096136716579
management appropriating funds therefor,0.4557096136716576
management appropriating,0.4557096136716573
act renewing,0.4554048180205085
provincial office,0.454028640174483
blg 129,0.45372659396424375
batas pambansa blg 129,0.45372659396424164
pambansa blg 129,0.45372659396424153
tourism destination,0.45318470650238873
act instituting,0.4523871100537239
university science technology,0.45221021129961414
destination providing development,0.4522073246555286
destination providing,0.4522073246555283
region_iii,0.4520540706328421
ref_legislative_franchises,0.45192543033135224
fund providing management utilization,0.4495721224955017
10868 known,0.4485792904234846
alienable disposable lands,0.4485533180720997
disposable lands,0.44855331807209853
road barangay,0.4482473571012006
ref_poverty_alleviation,0.4474575159467964
citizens act 2010,0.44667675379615085
senior citizens act 2010,0.44667675379615085
television stations,0.4440287188002964
providing development appropriating funds,0.44373049258442887
providing development appropriating,0.4437304925844284
armed forces,0.4431406281694954
bfp bureau jail,0.44290023931932737
bfp bureau jail management,0.4429002393193271
protection bfp bureau,0.4429002393193264
bfp bureau,0.4429002393193261
protection bfp bureau jail,0.4429002393193261
bureau protection bfp bureau,0.44290023931932515
providing powers,0.4412855505262679
mandating local government units,0.439936370306606
establishment technical,0.43932626618664217
providing establishment technical,0.4393262661866418
establishment technical education,0.4393262661866417
establishment technical education skills,0.4393262661866416
providing establishment technical education,0.43932626618664095
act providing establishment technical,0.4393262661866405
protected landscape,0.43876269049212063
center appropriating,0.4386970560252567
republic act 9184 known,0.4383927730721109
act 9184 known,0.4383927730721092
act 7160 amended known,0.4376835361700032
province_negros_occidental,0.43745556490258153
region_xii,0.43723730147162826
reform act,0.4361751680616539
act 2001,0.43561998893142434
converting municipality,0.4356024360460814
act converting municipality,0.4356024360460791
including barangay,0.4355532383599743
including barangay tanods,0.4355532383599739
systems philippines,0.4347170569358306
act expanding coverage,0.434414783009309
purpose articles,0.43441395213013856
amending purpose batas,0.4337736761948515
amending purpose batas pambansa,0.43377367619485063
city appropriating,0.43194542003476233
city appropriating funds therefor,0.43194542003476116
city appropriating funds,0.43194542003476083
inclusive education,0.4312234366934038
del norte,0.429109912078184
ref_aquaculture_and_fisheries_resources,0.4285251299680142
food waste,0.4281707778325653
provinces cities,0.4278582289543572
ref_public_works_and_highways,0.4274120191920978
purpose section 393,0.4274068687117034
comprehensive dangerous drugs,0.42715732857594035
comprehensive dangerous,0.42715732857594
comprehensive dangerous drugs act,0.42715732857593847
province_pampanga,0.42643798687936463
known land transportation traffic,0.42464368046309126
known land transportation,0.4246436804630907
known land,0.42464368046309015
province_manila,0.42420945378641906
branch regional trial,0.42411256478843873
branch regional,0.4241125647884365
municipality san,0.4222751962495692
carta day care workers,0.42072156848411296
magna carta day care,0.4207215684841111
carta day,0.4207215684841109
magna carta day,0.4207215684841108
carta day care,0.42072156848410963
province_camiguin,0.4205877622021631
national government,0.42000500976608085
university science,0.4197010608748718
known family code,0.4179831589531937
known family,0.41798315895319366
task force,0.4176860461262271
is_partylist,0.41545947009219175
citizens nation building,0.4149596345445538
senior citizens nation building,0.4149596345445534
nation building grant benefits,0.41495963454455337
nation building grant,0.4149596345445532
contribution senior citizens nation,0.41495963454455315
senior citizens nation,0.4149596345445531
citizens nation,0.41495963454455276
citizens nation building grant,0.414959634544552
province_san_jose_del_monte_city,0.4133209837035042
amending certain sections republic,0.41219500132077047
secondary road,0.41155299008377744
national secondary road,0.411552990083777
national secondary,0.41155299008377666
amending purpose section 393,0.41106505335728283
province_agusan_del_sur,0.41037052286010417
province_ilocos_sur,0.4090595712989775
college municipality,0.4087044822659626
act classifying,0.40863752165575334
party_hilreca,0.40822972469047614
radio broadcasting,0.40779330388127843
security act,0.40778551112248246
alternative child care,0.40690113402773165
codifying alternative child,0.40690113402773154
alternative child,0.4069011340277315
codifying alternative,0.4069011340277314
act codifying alternative,0.4069011340277313
child care laws,0.4069011340277309
codifying alternative child care,0.40690113402773026
alternative child care laws,0.4069011340277296
act codifying alternative child,0.40690113402772904
act codifying,0.4069011340277288
service facilities professional health,0.4058395036773931
upgrading service facilities professional,0.40583950367739297
service facilities professional,0.40583950367739285
ref_higher_and_technical_education,0.4049416919239812
act mandating national,0.4030926884526682
care workers providing funds,0.4021875064542003
care workers providing,0.40218750645420004
instituting magna carta day,0.40218750645419965
day care workers providing,0.4021875064541995
